    1.458 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.508 INFO     Reading executable JSON source: /var/lib/awx/venv/tower/lib/python2.7/site-packages/awx/plugins/inventory/cloudforms.py
   28.543 INFO     Loaded 330 groups, 317 hosts
   28.564 WARNING  Host "DC2-VC2" has no "id" variable
   28.564 WARNING  Host "ACI-WL-ASAv-UNMGD-WEB1" has no "id" variable
   28.564 WARNING  Host "IOT-VM01-LivingPlanIT" has no "id" variable
   28.564 WARNING  Host "Ansible_Tower_P" has no "id" variable
   28.564 WARNING  Host "oradbprodserver" has no "id" variable
   28.564 WARNING  Host "EDGE01-0" has no "id" variable
   28.564 WARNING  Host "falck-aws-feb182" has no "id" variable
   28.565 WARNING  Host "AWS-Migration" has no "id" variable
   28.565 WARNING  Host "vRA-REPO" has no "id" variable
   28.565 WARNING  Host "CG-ION3102v-Branch2" has no "id" variable
   28.565 WARNING  Host "VM_Test1" has no "id" variable
   28.565 WARNING  Host "VVD-DNS" has no "id" variable
   28.565 WARNING  Host "CentOS_DC1" has no "id" variable
   28.565 WARNING  Host "ANS-L" has no "id" variable
   28.565 WARNING  Host "ACI-WL-F5-CLNT" has no "id" variable
   28.565 WARNING  Host "Netbackup_Master" has no "id" variable
   28.565 WARNING  Host "nimtest1" has no "id" variable
   28.565 WARNING  Host "IW-H-INET-1" has no "id" variable
   28.565 WARNING  Host "WPM_NNMI" has no "id" variable
   28.565 WARNING  Host "AWX" has no "id" variable
   28.565 WARNING  Host "Kube_master_new" has no "id" variable
   28.565 WARNING  Host "TSG-RTR3" has no "id" variable
   28.565 WARNING  Host "helpdesk" has no "id" variable
   28.565 WARNING  Host "SDX_Win2k8_0001" has no "id" variable
   28.566 WARNING  Host "manageiqrpm" has no "id" variable
   28.566 WARNING  Host "Test-VMMonitor" has no "id" variable
   28.566 WARNING  Host "Windows-webservice1" has no "id" variable
   28.566 WARNING  Host "BR-TGEN" has no "id" variable
   28.566 WARNING  Host "48.90 Windows Machine" has no "id" variable
   28.566 WARNING  Host "VCenter_6.5" has no "id" variable
   28.566 WARNING  Host "Nimesa_test" has no "id" variable
   28.566 WARNING  Host "aci-dev" has no "id" variable
   28.566 WARNING  Host "TSG-RTR1" has no "id" variable
   28.566 WARNING  Host "TSG-RTR2" has no "id" variable
   28.566 WARNING  Host "Openstack_Undercloud_Newtron_Cisco_ACI (1)" has no "id" variable
   28.566 WARNING  Host "LB-WEB-ONE-ARM-0" has no "id" variable
   28.566 WARNING  Host "IW-H-WEBSERVER" has no "id" variable
   28.566 WARNING  Host "ansiblemaraiadb" has no "id" variable
   28.566 WARNING  Host "ACI-WL-NETVPX-CLNT" has no "id" variable
   28.566 WARNING  Host "ACI-WL-NETVPX-WEB-4" has no "id" variable
   28.566 WARNING  Host "ACI-WL-NETVPX-WEB-5" has no "id" variable
   28.566 WARNING  Host "PA-VM-8.0.0" has no "id" variable
   28.567 WARNING  Host "DemoCF4.0" has no "id" variable
   28.567 WARNING  Host "namenode1" has no "id" variable
   28.567 WARNING  Host "Windows-AD" has no "id" variable
   28.567 WARNING  Host "HP IMC" has no "id" variable
   28.567 WARNING  Host "SDI-Client" has no "id" variable
   28.567 WARNING  Host "IV-HUB-TGEN" has no "id" variable
   28.567 WARNING  Host "ACI-WL-NETVPX-WEB1" has no "id" variable
   28.567 WARNING  Host "Cobbler_PXE" has no "id" variable
   28.567 WARNING  Host "sdx-hea01" has no "id" variable
   28.567 WARNING  Host "Demo-Windows-DB" has no "id" variable
   28.567 WARNING  Host "Infra Server_1" has no "id" variable
   28.567 WARNING  Host "Infra Server_2" has no "id" variable
   28.567 WARNING  Host "5.1.2-prism_central" has no "id" variable
   28.567 WARNING  Host "IV-salsa-v9.1.2" has no "id" variable
   28.567 WARNING  Host "postgress" has no "id" variable
   28.567 WARNING  Host "Cisco CSR 1000V" has no "id" variable
   28.567 WARNING  Host "graylog-beta" has no "id" variable
   28.568 WARNING  Host "Ceph-N2" has no "id" variable
   28.568 WARNING  Host "Ceph-N3" has no "id" variable
