    1.371 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.402 INFO     Reading executable JSON source: /var/lib/awx/venv/tower/lib/python2.7/site-packages/awx/plugins/inventory/ec2.py
   39.897 INFO     Loaded 98 groups, 12 hosts
   39.931 INFO     Group "ec2" variables unmodified
   39.934 INFO     Group "tags" variables unmodified
   39.943 INFO     Group "ami_11e84107" added
   39.949 INFO     Group "ami_1566297a" added
   39.956 INFO     Group "ami_1f28d965" added
   39.962 INFO     Group "ami_27057148" added
   39.968 INFO     Group "ami_391a055d" added
   39.975 INFO     Group "ami_46eea129" added
   39.982 INFO     Group "ami_58fc7f22" added
   39.988 INFO     Group "ami_6496321e" added
   39.994 INFO     Group "ami_b1858fd5" added
   40.000 INFO     Group "ami_b2748ddf" added
   40.006 INFO     Group "ap-south-1" added
   40.012 INFO     Group "ap-south-1b" added
   40.018 INFO     Group "ec2" added
   40.024 INFO     Group "eu-west-2" added
   40.030 INFO     Group "eu-west-2a" added
   40.037 INFO     Group "images" added
   40.044 INFO     Group "key_London_GW" added
   40.050 INFO     Group "key_London_GW_A" added
   40.056 INFO     Group "key_London_GW_hagw" added
   40.062 INFO     Group "key_Mumbai_GW" added
   40.069 INFO     Group "key_Mumbai_GW_A" added
   40.076 INFO     Group "key_N_Virgina_GW_A" added
   40.082 INFO     Group "key_aviatrix123" added
   40.090 INFO     Group "key_awskey" added
   40.097 INFO     Group "key_centos_aws" added
   40.103 INFO     Group "key_mediaserver" added
   40.109 INFO     Group "key_nvirginia_1" added
   40.115 INFO     Group "key_nvirginia_1_hagw" added
   40.121 INFO     Group "keys" added
   40.127 INFO     Group "regions" added
   40.135 INFO     Group "security_group_Controller_A_AviatrixSG_14BTZI28DGGYH" added
   40.141 INFO     Group "security_group_London_GW" added
   40.147 INFO     Group "security_group_London_GW_A" added
   40.153 INFO     Group "security_group_London_GW_hagw" added
   40.159 INFO     Group "security_group_Mumbai_GW" added
   40.165 INFO     Group "security_group_Mumbai_GW_A" added
   40.171 INFO     Group "security_group_N_Virgina_GW_A" added
   40.177 INFO     Group "security_group_launch_wizard_2" added
   40.184 INFO     Group "security_group_launch_wizard_3" added
   40.195 INFO     Group "security_group_nvirginia_1" added
   40.201 INFO     Group "security_group_nvirginia_1_hagw" added
   40.207 INFO     Group "security_group_webserver" added
   40.214 INFO     Group "security_groups" added
   40.220 INFO     Group "tag_London_GW_172_31_5_171" added
