    1.356 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.375 INFO     Reading executable JSON source: /var/lib/awx/venv/tower/lib/python2.7/site-packages/awx/plugins/inventory/ec2.py
    3.263 INFO     Loaded 58 groups, 6 hosts
    3.321 INFO     Deleted host "13.126.214.29"
    3.335 INFO     Deleted host "13.127.13.202"
    3.349 INFO     Deleted host "35.154.142.70"
    3.363 INFO     Deleted host "35.176.36.6"
    3.377 INFO     Deleted host "35.177.84.250"
    3.391 INFO     Deleted host "52.56.209.184"
    3.405 INFO     Deleted host "cent-pack1"
    3.419 INFO     Deleted host "DHCP Server"
    3.432 INFO     Deleted host "Holmes-Cent6"
    3.446 INFO     Deleted host "Holmes-Cent7"
    3.463 INFO     Deleted host "jan2-18-sdx-demo"
    3.476 INFO     Deleted host "Nimesa_test"
    3.490 INFO     Deleted host "SDX-COE-21"
    3.504 INFO     Deleted host "sdx-coe-51"
    3.517 INFO     Deleted host "sdx-coe-54"
    3.531 INFO     Deleted host "sdx-hea01"
    3.545 INFO     Deleted host "sdxnix05"
    3.558 INFO     Deleted host "SDX_Win2k8_0001"
    3.572 INFO     Deleted host "testbu01"
    3.585 INFO     Deleted host "tsgnix01"
    3.599 INFO     Deleted host "windowtest"
    3.653 INFO     Group "ami_1566297a" deleted
    3.689 INFO     Group "ami_27057148" deleted
    3.727 INFO     Group "ami_391a055d" deleted
    3.763 INFO     Group "ami_46eea129" deleted
    3.800 INFO     Group "ami_b1858fd5" deleted
    3.838 INFO     Group "ap-south-1" deleted
    3.876 INFO     Group "ap-south-1b" deleted
    3.915 INFO     Group "eu-west-2" deleted
    3.953 INFO     Group "eu-west-2a" deleted
    3.989 INFO     Group "key_aviatrix123" deleted
    4.024 INFO     Group "key_London_GW" deleted
    4.060 INFO     Group "key_London_GW_A" deleted
    4.095 INFO     Group "key_London_GW_hagw" deleted
    4.131 INFO     Group "key_Mumbai_GW" deleted
    4.172 INFO     Group "key_Mumbai_GW_A" deleted
    4.208 INFO     Group "_managed_folder_path_blue_datacenters_sdx_demo_vm" deleted
    4.244 INFO     Group "_managed_folder_path_blue_datacenters_sdx_demo_vm_discovered_virtual_machine" deleted
    4.281 INFO     Group "security_group_launch_wizard_2" deleted
    4.317 INFO     Group "security_group_London_GW" deleted
    4.368 INFO     Group "security_group_London_GW_A" deleted
    4.411 INFO     Group "security_group_London_GW_hagw" deleted
    4.456 INFO     Group "security_group_Mumbai_GW" deleted
    4.500 INFO     Group "security_group_Mumbai_GW_A" deleted
    4.542 INFO     Group "tag_London_GW_172_31_5_171" deleted
    4.578 INFO     Group "tag_London_GW_172_31_5_171_gateway" deleted
    4.615 INFO     Group "tag_London_GW_A_172_31_31_153" deleted
    4.651 INFO     Group "tag_London_GW_A_172_31_31_153_gateway" deleted
    4.689 INFO     Group "tag_London_GW_hagw_172_31_5_171" deleted
    4.725 INFO     Group "tag_London_GW_hagw_172_31_5_171_gateway" deleted
