    1.381 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.400 INFO     Reading executable JSON source: /var/lib/awx/venv/tower/lib/python2.7/site-packages/awx/plugins/inventory/ec2.py
    3.194 INFO     Loaded 58 groups, 6 hosts
    3.471 INFO     Group "ec2" variables unmodified
    3.476 INFO     Group "ami_11e84107" variables unmodified
    3.476 INFO     Group "ami_1f28d965" variables unmodified
    3.476 INFO     Group "ami_58fc7f22" variables unmodified
    3.476 INFO     Group "ami_6496321e" variables unmodified
    3.477 INFO     Group "ami_b2748ddf" variables unmodified
    3.477 INFO     Group "ec2" variables unmodified
    3.477 INFO     Group "images" variables unmodified
    3.477 INFO     Group "key_awskey" variables unmodified
    3.477 INFO     Group "key_centos_aws" variables unmodified
    3.477 INFO     Group "key_mediaserver" variables unmodified
    3.478 INFO     Group "key_N_Virgina_GW_A" variables unmodified
    3.478 INFO     Group "key_nvirginia_1" variables unmodified
    3.478 INFO     Group "key_nvirginia_1_hagw" variables unmodified
    3.478 INFO     Group "keys" variables unmodified
    3.478 INFO     Group "regions" variables unmodified
    3.478 INFO     Group "security_group_Controller_A_AviatrixSG_14BTZI28DGGYH" variables unmodified
    3.478 INFO     Group "security_group_launch_wizard_3" variables unmodified
    3.479 INFO     Group "security_group_N_Virgina_GW_A" variables unmodified
    3.479 INFO     Group "security_group_nvirginia_1" variables unmodified
    3.479 INFO     Group "security_group_nvirginia_1_hagw" variables unmodified
    3.479 INFO     Group "security_groups" variables unmodified
    3.479 INFO     Group "security_group_webserver" variables unmodified
    3.479 INFO     Group "tag_aws_cloudformation_logical_id" variables unmodified
    3.480 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" variables unmodified
    3.480 INFO     Group "tag_aws_cloudformation_stack_id" variables unmodified
    3.480 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" variables unmodified
    3.480 INFO     Group "tag_aws_cloudformation_stack_name" variables unmodified
    3.480 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" variables unmodified
    3.480 INFO     Group "tag__GX_BACKUP_" variables unmodified
    3.481 INFO     Group "tag_Name" variables unmodified
    3.481 INFO     Group "tag_Name_AviatrixController" variables unmodified
    3.481 INFO     Group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153" variables unmodified
    3.481 INFO     Group "tag_Name_aviatrix_nvirginia_1_172_31_5_171" variables unmodified
    3.481 INFO     Group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171" variables unmodified
    3.481 INFO     Group "tag_Name_Cvlt_mediaserver" variables unmodified
    3.481 INFO     Group "tag_Name_feb2_18" variables unmodified
    3.482 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153" variables unmodified
    3.482 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" variables unmodified
    3.482 INFO     Group "tag_nvirginia_1_172_31_5_171" variables unmodified
    3.482 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" variables unmodified
    3.482 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171" variables unmodified
    3.482 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" variables unmodified
    3.482 INFO     Group "tag_Project" variables unmodified
    3.483 INFO     Group "tag_Project_Aviatrix" variables unmodified
    3.483 INFO     Group "tags" variables unmodified
    3.483 INFO     Group "type_m3_2xlarge" variables unmodified
    3.483 INFO     Group "type_m3_medium" variables unmodified
    3.483 INFO     Group "types" variables unmodified
    3.483 INFO     Group "type_t2_large" variables unmodified
    3.483 INFO     Group "type_t2_micro" variables unmodified
    3.484 INFO     Group "us-east-1" variables unmodified
    3.484 INFO     Group "us-east-1a" variables unmodified
    3.484 INFO     Group "us-east-1b" variables unmodified
    3.484 INFO     Group "us-east-1c" variables unmodified
    3.484 INFO     Group "vpc_id_vpc_0b10e36f" variables unmodified
    3.484 INFO     Group "vpc_id_vpc_e6c7279d" variables unmodified
    3.484 INFO     Group "vpcs" variables unmodified
    3.485 INFO     Group "zones" variables unmodified
    3.492 INFO     Host "34.193.109.28" variables unmodified
    3.493 INFO     Host "34.224.245.31" variables unmodified
    3.493 INFO     Host "34.225.52.141" variables unmodified
    3.493 INFO     Host "34.229.210.21" variables unmodified
    3.494 INFO     Host "54.89.83.56" variables unmodified
    3.494 INFO     Host "54.91.231.196" variables unmodified
    3.507 INFO     Group "ami_b2748ddf" added as child of "images"
    3.513 INFO     Group "key_nvirginia_1_hagw" added as child of "keys"
    3.519 INFO     Group "us-east-1" added as child of "regions"
    3.525 INFO     Group "security_group_webserver" added as child of "security_groups"
    3.531 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" added as child of "tag_aws_cloudformation_logical_id"
    3.536 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" added as child of "tag_aws_cloudformation_stack_id"
    3.542 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" added as child of "tag_aws_cloudformation_stack_name"
    3.548 INFO     Group "tag_Name_feb2_18" added as child of "tag_Name"
    3.553 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" added as child of "tag_N_Virgina_GW_A_172_31_31_153"
    3.559 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" added as child of "tag_nvirginia_1_172_31_5_171"
    3.565 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" added as child of "tag_nvirginia_1_hagw_172_31_5_171"
    3.570 INFO     Group "tag_Project_Aviatrix" added as child of "tag_Project"
    3.577 INFO     Group "tag_Project" added as child of "tags"
    3.583 INFO     Group "type_t2_micro" added as child of "types"
    3.589 INFO     Group "us-east-1c" added as child of "us-east-1"
    3.594 INFO     Group "vpc_id_vpc_e6c7279d" added as child of "vpcs"
    3.600 INFO     Group "us-east-1c" added as child of "zones"
    3.608 INFO     Host "54.91.231.196" already in group "ami_11e84107"
    3.612 INFO     Host "34.225.52.141" already in group "ami_1f28d965"
    3.616 INFO     Host "34.224.245.31" already in group "ami_58fc7f22"
    3.620 INFO     Host "34.229.210.21" already in group "ami_6496321e"
    3.625 INFO     Host "34.193.109.28" already in group "ami_b2748ddf"
    3.625 INFO     Host "54.89.83.56" already in group "ami_b2748ddf"
    3.629 INFO     Host "34.193.109.28" already in group "ec2"
    3.629 INFO     Host "34.224.245.31" already in group "ec2"
    3.630 INFO     Host "34.225.52.141" already in group "ec2"
    3.630 INFO     Host "34.229.210.21" already in group "ec2"
    3.630 INFO     Host "54.89.83.56" already in group "ec2"
    3.630 INFO     Host "54.91.231.196" already in group "ec2"
    3.634 INFO     Host "34.225.52.141" already in group "key_awskey"
    3.638 INFO     Host "34.229.210.21" already in group "key_centos_aws"
    3.642 INFO     Host "54.91.231.196" already in group "key_mediaserver"
    3.646 INFO     Host "34.224.245.31" already in group "key_N_Virgina_GW_A"
    3.651 INFO     Host "34.193.109.28" already in group "key_nvirginia_1"
    3.655 INFO     Host "54.89.83.56" already in group "key_nvirginia_1_hagw"
