    1.378 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.394 INFO     Reading executable JSON source: /var/lib/awx/venv/tower/lib/python2.7/site-packages/awx/plugins/inventory/ec2.py
   21.401 INFO     Loaded 58 groups, 6 hosts
   21.673 INFO     Group "ec2" variables unmodified
   21.678 INFO     Group "ami_11e84107" variables unmodified
   21.678 INFO     Group "ami_1f28d965" variables unmodified
   21.678 INFO     Group "ami_58fc7f22" variables unmodified
   21.678 INFO     Group "ami_b2748ddf" variables unmodified
   21.678 INFO     Group "ec2" variables unmodified
   21.679 INFO     Group "images" variables unmodified
   21.679 INFO     Group "key_awskey" variables unmodified
   21.679 INFO     Group "key_mediaserver" variables unmodified
   21.679 INFO     Group "key_N_Virgina_GW_A" variables unmodified
   21.679 INFO     Group "key_nvirginia_1" variables unmodified
   21.679 INFO     Group "key_nvirginia_1_hagw" variables unmodified
   21.680 INFO     Group "keys" variables unmodified
   21.680 INFO     Group "regions" variables unmodified
   21.680 INFO     Group "security_group_Controller_A_AviatrixSG_14BTZI28DGGYH" variables unmodified
   21.680 INFO     Group "security_group_launch_wizard_3" variables unmodified
   21.680 INFO     Group "security_group_N_Virgina_GW_A" variables unmodified
   21.680 INFO     Group "security_group_nvirginia_1" variables unmodified
   21.681 INFO     Group "security_group_nvirginia_1_hagw" variables unmodified
   21.681 INFO     Group "security_groups" variables unmodified
   21.681 INFO     Group "tag_aws_cloudformation_logical_id" variables unmodified
   21.681 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" variables unmodified
   21.681 INFO     Group "tag_aws_cloudformation_stack_id" variables unmodified
   21.681 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" variables unmodified
   21.681 INFO     Group "tag_aws_cloudformation_stack_name" variables unmodified
   21.682 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" variables unmodified
   21.682 INFO     Group "tag__GX_BACKUP_" variables unmodified
   21.682 INFO     Group "tag_Name" variables unmodified
   21.682 INFO     Group "tag_Name_AviatrixController" variables unmodified
   21.682 INFO     Group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153" variables unmodified
   21.682 INFO     Group "tag_Name_aviatrix_nvirginia_1_172_31_5_171" variables unmodified
   21.682 INFO     Group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171" variables unmodified
