    1.328 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.354 INFO     Reading executable JSON source: /var/lib/awx/venv/tower/lib/python2.7/site-packages/awx/plugins/inventory/ec2.py
    5.797 INFO     Loaded 24 groups, 6 hosts
    5.938 INFO     Group "ec2" variables unmodified
    5.941 INFO     Group "ec2" variables unmodified
    5.941 INFO     Group "tag_aws_cloudformation_logical_id" variables unmodified
    5.941 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" variables unmodified
    5.942 INFO     Group "tag_aws_cloudformation_stack_id" variables unmodified
    5.942 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" variables unmodified
    5.942 INFO     Group "tag_aws_cloudformation_stack_name" variables unmodified
    5.942 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" variables unmodified
    5.942 INFO     Group "tag__GX_BACKUP_" variables unmodified
    5.942 INFO     Group "tag_Name" variables unmodified
    5.943 INFO     Group "tag_Name_AviatrixController" variables unmodified
    5.943 INFO     Group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153" variables unmodified
    5.943 INFO     Group "tag_Name_aviatrix_nvirginia_1_172_31_5_171" variables unmodified
    5.943 INFO     Group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171" variables unmodified
    5.943 INFO     Group "tag_Name_Cvlt_mediaserver" variables unmodified
    5.943 INFO     Group "tag_Name_sdx_wrp_10" variables unmodified
    5.943 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153" variables unmodified
    5.943 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" variables unmodified
    5.944 INFO     Group "tag_nvirginia_1_172_31_5_171" variables unmodified
    5.944 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" variables unmodified
    5.944 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171" variables unmodified
    5.944 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" variables unmodified
    5.944 INFO     Group "tag_Project" variables unmodified
    5.944 INFO     Group "tag_Project_Aviatrix" variables unmodified
    5.944 INFO     Group "tags" variables unmodified
    5.952 INFO     Host "34.193.109.28" variables unmodified
    5.952 INFO     Host "34.224.245.31" variables unmodified
    5.953 INFO     Host "34.225.52.141" variables unmodified
    5.953 INFO     Host "54.83.140.39" variables unmodified
    5.953 INFO     Host "54.89.83.56" variables unmodified
    5.954 INFO     Host "54.91.231.196" variables unmodified
    5.968 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" added as child of "tag_aws_cloudformation_logical_id"
    5.974 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" added as child of "tag_aws_cloudformation_stack_id"
    5.981 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" added as child of "tag_aws_cloudformation_stack_name"
    5.988 INFO     Group "tag_Name_sdx_wrp_10" added as child of "tag_Name"
    5.995 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" added as child of "tag_N_Virgina_GW_A_172_31_31_153"
    6.002 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" added as child of "tag_nvirginia_1_172_31_5_171"
    6.008 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" added as child of "tag_nvirginia_1_hagw_172_31_5_171"
    6.015 INFO     Group "tag_Project_Aviatrix" added as child of "tag_Project"
    6.022 INFO     Group "tag_Project" added as child of "tags"
    6.030 INFO     Host "34.193.109.28" already in group "ec2"
    6.030 INFO     Host "34.224.245.31" already in group "ec2"
    6.030 INFO     Host "34.225.52.141" already in group "ec2"
    6.030 INFO     Host "54.83.140.39" already in group "ec2"
    6.030 INFO     Host "54.89.83.56" already in group "ec2"
    6.030 INFO     Host "54.91.231.196" already in group "ec2"
    6.035 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_logical_id_AviatrixController"
    6.040 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba"
    6.045 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_name_Controller_A"
    6.050 INFO     Host "54.91.231.196" already in group "tag__GX_BACKUP_"
    6.055 INFO     Host "34.225.52.141" already in group "tag_Name_AviatrixController"
    6.060 INFO     Host "34.224.245.31" already in group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153"
    6.065 INFO     Host "34.193.109.28" already in group "tag_Name_aviatrix_nvirginia_1_172_31_5_171"
    6.070 INFO     Host "54.89.83.56" already in group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171"
    6.076 INFO     Host "54.91.231.196" already in group "tag_Name_Cvlt_mediaserver"
    6.081 INFO     Host "54.83.140.39" already in group "tag_Name_sdx_wrp_10"
    6.086 INFO     Host "34.224.245.31" already in group "tag_N_Virgina_GW_A_172_31_31_153_gateway"
    6.090 INFO     Host "34.193.109.28" already in group "tag_nvirginia_1_172_31_5_171_gateway"
    6.095 INFO     Host "54.89.83.56" already in group "tag_nvirginia_1_hagw_172_31_5_171_gateway"
    6.099 INFO     Host "34.225.52.141" already in group "tag_Project_Aviatrix"
    6.143 INFO     Inventory import completed for group "EC2" in 4.8s
