    1.280 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.299 INFO     Reading executable JSON source: /var/lib/awx/venv/tower/lib/python2.7/site-packages/awx/plugins/inventory/ec2.py
    3.508 INFO     Loaded 24 groups, 6 hosts
    3.683 INFO     Group "ec2" variables unmodified
    3.686 INFO     Group "ec2" variables unmodified
    3.687 INFO     Group "tag_aws_cloudformation_logical_id" variables unmodified
    3.687 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" variables unmodified
    3.687 INFO     Group "tag_aws_cloudformation_stack_id" variables unmodified
    3.687 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" variables unmodified
    3.687 INFO     Group "tag_aws_cloudformation_stack_name" variables unmodified
    3.688 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" variables unmodified
    3.688 INFO     Group "tag__GX_BACKUP_" variables unmodified
    3.688 INFO     Group "tag_Name" variables unmodified
    3.688 INFO     Group "tag_Name_AviatrixController" variables unmodified
    3.688 INFO     Group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153" variables unmodified
    3.688 INFO     Group "tag_Name_aviatrix_nvirginia_1_172_31_5_171" variables unmodified
    3.688 INFO     Group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171" variables unmodified
    3.689 INFO     Group "tag_Name_Cvlt_mediaserver" variables unmodified
    3.689 INFO     Group "tag_Name_sdx_wrp_10" variables unmodified
    3.689 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153" variables unmodified
    3.689 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" variables unmodified
    3.689 INFO     Group "tag_nvirginia_1_172_31_5_171" variables unmodified
    3.689 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" variables unmodified
    3.689 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171" variables unmodified
    3.690 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" variables unmodified
    3.690 INFO     Group "tag_Project" variables unmodified
    3.690 INFO     Group "tag_Project_Aviatrix" variables unmodified
    3.690 INFO     Group "tags" variables unmodified
    3.697 INFO     Host "34.193.109.28" variables unmodified
    3.698 INFO     Host "34.224.245.31" variables unmodified
    3.698 INFO     Host "34.225.52.141" variables unmodified
    3.698 INFO     Host "54.83.140.39" variables unmodified
    3.699 INFO     Host "54.89.83.56" variables unmodified
    3.699 INFO     Host "54.91.231.196" variables unmodified
    3.713 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" added as child of "tag_aws_cloudformation_logical_id"
    3.720 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" added as child of "tag_aws_cloudformation_stack_id"
    3.726 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" added as child of "tag_aws_cloudformation_stack_name"
    3.733 INFO     Group "tag_Name_sdx_wrp_10" added as child of "tag_Name"
    3.740 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" added as child of "tag_N_Virgina_GW_A_172_31_31_153"
    3.747 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" added as child of "tag_nvirginia_1_172_31_5_171"
    3.753 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" added as child of "tag_nvirginia_1_hagw_172_31_5_171"
    3.760 INFO     Group "tag_Project_Aviatrix" added as child of "tag_Project"
    3.766 INFO     Group "tag_Project" added as child of "tags"
    3.772 INFO     Host "34.193.109.28" already in group "ec2"
    3.773 INFO     Host "34.224.245.31" already in group "ec2"
    3.773 INFO     Host "34.225.52.141" already in group "ec2"
    3.773 INFO     Host "54.83.140.39" already in group "ec2"
    3.773 INFO     Host "54.89.83.56" already in group "ec2"
    3.773 INFO     Host "54.91.231.196" already in group "ec2"
    3.777 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_logical_id_AviatrixController"
    3.781 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba"
    3.784 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_name_Controller_A"
    3.788 INFO     Host "54.91.231.196" already in group "tag__GX_BACKUP_"
    3.793 INFO     Host "34.225.52.141" already in group "tag_Name_AviatrixController"
    3.797 INFO     Host "34.224.245.31" already in group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153"
    3.801 INFO     Host "34.193.109.28" already in group "tag_Name_aviatrix_nvirginia_1_172_31_5_171"
    3.804 INFO     Host "54.89.83.56" already in group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171"
    3.808 INFO     Host "54.91.231.196" already in group "tag_Name_Cvlt_mediaserver"
    3.812 INFO     Host "54.83.140.39" already in group "tag_Name_sdx_wrp_10"
    3.816 INFO     Host "34.224.245.31" already in group "tag_N_Virgina_GW_A_172_31_31_153_gateway"
    3.820 INFO     Host "34.193.109.28" already in group "tag_nvirginia_1_172_31_5_171_gateway"
    3.825 INFO     Host "54.89.83.56" already in group "tag_nvirginia_1_hagw_172_31_5_171_gateway"
    3.829 INFO     Host "34.225.52.141" already in group "tag_Project_Aviatrix"
    3.874 INFO     Inventory import completed for group "EC2" in 2.6s
