    1.389 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.407 INFO     Reading executable JSON source: /tmp/ansible_tower_launch_4kYCH2/tmpR9EFFF
    3.555 INFO     Loaded 37 groups, 4 hosts
    3.581 INFO     Group "ec2-custom" variables unmodified
    3.584 INFO     Group "ec2" variables unmodified
    3.584 INFO     Group "tag__GX_BACKUP_" variables unmodified
    3.594 INFO     Group "ami-11e84107" added
    3.601 INFO     Group "ami-1f28d965" added
    3.610 INFO     Group "ami-58fc7f22" added
    3.617 INFO     Group "ami-6496321e" added
    3.624 INFO     Group "i-00970457bbdbca84b" added
    3.631 INFO     Group "i-010e51205338e1055" added
    3.638 INFO     Group "i-049a28a768a955789" added
    3.644 INFO     Group "i-0d72df4707a20bb16" added
    3.650 INFO     Group "key_N-Virgina-GW-A" added
    3.656 INFO     Group "key_awskey" added
    3.662 INFO     Group "key_centos-aws" added
    3.668 INFO     Group "key_mediaserver" added
    3.674 INFO     Group "security_group_Controller-A-AviatrixSG-14BTZI28DGGYH" added
    3.680 INFO     Group "security_group_N-Virgina-GW-A" added
    3.685 INFO     Group "security_group_launch-wizard-3" added
    3.691 INFO     Group "security_group_webserver" added
    3.697 INFO     Group "tag_N-Virgina-GW-A-172-31-31-153-gateway" added
    3.703 INFO     Group "tag_Name-AviatrixController" added
    3.709 INFO     Group "tag_Name-Cvlt-mediaserver" added
    3.715 INFO     Group "tag_Name-aviatrix-N-Virgina-GW-A-172-31-31-153" added
    3.720 INFO     Group "tag_Name-sdx-wrp-10" added
    3.726 INFO     Group "tag_Project-Aviatrix" added
    3.732 INFO     Group "tag_aws-cloudformation-logical-id-AviatrixController" added
    3.738 INFO     Group "tag_aws-cloudformation-stack-id-arn-aws-cloudformation-us-east-1-986182225774-stack-Controller-A-98bdc830-cbab-11e7-a47a-500c28afa0ba" added
    3.744 INFO     Group "tag_aws-cloudformation-stack-name-Controller-A" added
    3.750 INFO     Group "type_m3-2xlarge" added
    3.756 INFO     Group "type_m3-medium" added
    3.762 INFO     Group "type_t2-large" added
    3.773 INFO     Group "type_t2-micro" added
    3.781 INFO     Group "us-east-1" added
    3.788 INFO     Group "us-east-1a" added
    3.795 INFO     Group "us-east-1b" added
    3.802 INFO     Group "us-east-1c" added
    3.809 INFO     Group "vpc_id_vpc-0b10e36f" added
    3.816 INFO     Group "vpc_id_vpc-e6c7279d" added
    3.831 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" added
    3.834 INFO     Host "aviatrixcontroller" added
    3.836 INFO     Host "cvlt-mediaserver" added
    3.838 INFO     Host "sdx-wrp-10" added
    3.854 INFO     Host "cvlt-mediaserver" added to group "ami-11e84107"
    3.861 INFO     Host "aviatrixcontroller" added to group "ami-1f28d965"
    3.868 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" added to group "ami-58fc7f22"
    3.876 INFO     Host "sdx-wrp-10" added to group "ami-6496321e"
    3.887 INFO     Host "aviatrixcontroller" added to group "ec2"
    3.887 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" added to group "ec2"
    3.887 INFO     Host "cvlt-mediaserver" added to group "ec2"
    3.887 INFO     Host "sdx-wrp-10" added to group "ec2"
    3.894 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" added to group "i-00970457bbdbca84b"
    3.900 INFO     Host "cvlt-mediaserver" added to group "i-010e51205338e1055"
    3.906 INFO     Host "sdx-wrp-10" added to group "i-049a28a768a955789"
    3.912 INFO     Host "aviatrixcontroller" added to group "i-0d72df4707a20bb16"
