    1.438 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.457 INFO     Reading executable JSON source: /tmp/ansible_tower_launch_r1Xasi/tmpbK9dJz
    5.676 INFO     Loaded 41 groups, 5 hosts
    5.736 INFO     Deleted host "sdx-wrp-10"
    5.758 INFO     Deleted host "sdx-wrp-11"
    5.809 INFO     Group "i-049a28a768a955789" deleted
    5.847 INFO     Group "i-077cade0b635ccecc" deleted
    5.886 INFO     Group "tag_Name-sdx-wrp-10" deleted
    5.923 INFO     Group "tag_Name-sdx-wrp-11" deleted
    6.081 INFO     Group "ec2-custom" variables unmodified
    6.085 INFO     Group "ami-11e84107" variables unmodified
    6.086 INFO     Group "ami-1f28d965" variables unmodified
    6.086 INFO     Group "ami-58fc7f22" variables unmodified
    6.086 INFO     Group "ami-6496321e" variables unmodified
    6.086 INFO     Group "ec2" variables unmodified
    6.086 INFO     Group "i-00970457bbdbca84b" variables unmodified
    6.087 INFO     Group "i-010e51205338e1055" variables unmodified
    6.087 INFO     Group "i-0d72df4707a20bb16" variables unmodified
    6.087 INFO     Group "key_awskey" variables unmodified
    6.087 INFO     Group "key_centos-aws" variables unmodified
    6.087 INFO     Group "key_mediaserver" variables unmodified
    6.087 INFO     Group "key_N-Virgina-GW-A" variables unmodified
    6.088 INFO     Group "security_group_Controller-A-AviatrixSG-14BTZI28DGGYH" variables unmodified
    6.088 INFO     Group "security_group_launch-wizard-3" variables unmodified
    6.088 INFO     Group "security_group_N-Virgina-GW-A" variables unmodified
    6.088 INFO     Group "security_group_webserver" variables unmodified
    6.088 INFO     Group "tag_aws-cloudformation-logical-id-AviatrixController" variables unmodified
    6.089 INFO     Group "tag_aws-cloudformation-stack-id-arn-aws-cloudformation-us-east-1-986182225774-stack-Controller-A-98bdc830-cbab-11e7-a47a-500c28afa0ba" variables unmodified
    6.089 INFO     Group "tag_aws-cloudformation-stack-name-Controller-A" variables unmodified
    6.089 INFO     Group "tag__GX_BACKUP_" variables unmodified
    6.089 INFO     Group "tag_Name-AviatrixController" variables unmodified
    6.089 INFO     Group "tag_Name-aviatrix-N-Virgina-GW-A-172-31-31-153" variables unmodified
    6.089 INFO     Group "tag_Name-Cvlt-mediaserver" variables unmodified
    6.090 INFO     Group "tag_N-Virgina-GW-A-172-31-31-153-gateway" variables unmodified
    6.090 INFO     Group "tag_Project-Aviatrix" variables unmodified
    6.090 INFO     Group "type_m3-2xlarge" variables unmodified
    6.090 INFO     Group "type_m3-medium" variables unmodified
    6.090 INFO     Group "type_t2-large" variables unmodified
    6.091 INFO     Group "type_t2-micro" variables unmodified
    6.091 INFO     Group "us-east-1" variables unmodified
    6.091 INFO     Group "us-east-1a" variables unmodified
    6.091 INFO     Group "us-east-1b" variables unmodified
    6.091 INFO     Group "us-east-1c" variables unmodified
    6.091 INFO     Group "vpc_id_vpc-0b10e36f" variables unmodified
    6.092 INFO     Group "vpc_id_vpc-e6c7279d" variables unmodified
    6.100 INFO     Group "ami-d01f9ac6" added
    6.107 INFO     Group "i-06d9ef8e04dc3507a" added
    6.114 INFO     Group "i-091fcf1030f932bc5" added
    6.121 INFO     Group "tag_Name-sdx-lin43" added
    6.128 INFO     Group "tag_Name-windows" added
    6.134 INFO     Group "type_c1-xlarge" added
    6.142 INFO     Host "aviatrixcontroller" variables unmodified
