    1.412 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.431 INFO     Reading executable JSON source: /tmp/ansible_tower_launch_Jyh_8c/tmpz7ArF5
    4.942 INFO     Loaded 43 groups, 6 hosts
    5.160 INFO     Group "ec2-custom" variables unmodified
    5.163 INFO     Group "ami-11e84107" variables unmodified
    5.163 INFO     Group "ami-1f28d965" variables unmodified
    5.163 INFO     Group "ami-58fc7f22" variables unmodified
    5.164 INFO     Group "ami-6496321e" variables unmodified
    5.164 INFO     Group "ami-d01f9ac6" variables unmodified
    5.164 INFO     Group "ec2" variables unmodified
    5.164 INFO     Group "i-00970457bbdbca84b" variables unmodified
    5.165 INFO     Group "i-010e51205338e1055" variables unmodified
    5.165 INFO     Group "i-06d9ef8e04dc3507a" variables unmodified
    5.165 INFO     Group "i-091fcf1030f932bc5" variables unmodified
    5.166 INFO     Group "i-0d72df4707a20bb16" variables unmodified
    5.166 INFO     Group "key_awskey" variables unmodified
    5.166 INFO     Group "key_centos-aws" variables unmodified
    5.167 INFO     Group "key_mediaserver" variables unmodified
    5.167 INFO     Group "key_N-Virgina-GW-A" variables unmodified
    5.167 INFO     Group "security_group_Controller-A-AviatrixSG-14BTZI28DGGYH" variables unmodified
    5.168 INFO     Group "security_group_launch-wizard-3" variables unmodified
    5.168 INFO     Group "security_group_N-Virgina-GW-A" variables unmodified
    5.168 INFO     Group "security_group_webserver" variables unmodified
    5.169 INFO     Group "tag_aws-cloudformation-logical-id-AviatrixController" variables unmodified
    5.169 INFO     Group "tag_aws-cloudformation-stack-id-arn-aws-cloudformation-us-east-1-986182225774-stack-Controller-A-98bdc830-cbab-11e7-a47a-500c28afa0ba" variables unmodified
    5.169 INFO     Group "tag_aws-cloudformation-stack-name-Controller-A" variables unmodified
    5.170 INFO     Group "tag__GX_BACKUP_" variables unmodified
    5.170 INFO     Group "tag_Name-AviatrixController" variables unmodified
    5.170 INFO     Group "tag_Name-aviatrix-N-Virgina-GW-A-172-31-31-153" variables unmodified
    5.171 INFO     Group "tag_Name-Cvlt-mediaserver" variables unmodified
    5.171 INFO     Group "tag_Name-sdx-lin43" variables unmodified
    5.171 INFO     Group "tag_Name-windows" variables unmodified
    5.172 INFO     Group "tag_N-Virgina-GW-A-172-31-31-153-gateway" variables unmodified
    5.172 INFO     Group "tag_Project-Aviatrix" variables unmodified
    5.172 INFO     Group "type_c1-xlarge" variables unmodified
    5.173 INFO     Group "type_m3-2xlarge" variables unmodified
