    1.340 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.357 INFO     Reading executable JSON source: /tmp/ansible_tower_launch_ueBATc/tmpIqClTn
   11.096 INFO     Loaded 46 groups, 6 hosts
   11.152 INFO     Deleted host "falck02"
   11.179 INFO     Deleted host "sdx-lin43"
   11.245 INFO     Group "i-06d9ef8e04dc3507a" deleted
   11.300 INFO     Group "i-0b51e79de8eb5056f" deleted
   11.339 INFO     Group "tag_Name-falck02" deleted
   11.376 INFO     Group "tag_Name-sdx-lin43" deleted
   11.529 INFO     Group "ec2-custom" variables unmodified
   11.533 INFO     Group "ami-11e84107" variables unmodified
   11.534 INFO     Group "ami-1f28d965" variables unmodified
   11.534 INFO     Group "ami-58fc7f22" variables unmodified
   11.535 INFO     Group "ami-6496321e" variables unmodified
   11.535 INFO     Group "ami-d01f9ac6" variables unmodified
   11.535 INFO     Group "ec2" variables unmodified
   11.536 INFO     Group "i-00970457bbdbca84b" variables unmodified
   11.536 INFO     Group "i-010e51205338e1055" variables unmodified
   11.536 INFO     Group "i-091fcf1030f932bc5" variables unmodified
   11.537 INFO     Group "i-0d72df4707a20bb16" variables unmodified
   11.537 INFO     Group "key_awskey" variables unmodified
   11.537 INFO     Group "key_centos-aws" variables unmodified
   11.537 INFO     Group "key_mediaserver" variables unmodified
   11.538 INFO     Group "key_N-Virgina-GW-A" variables unmodified
   11.538 INFO     Group "security_group_Controller-A-AviatrixSG-14BTZI28DGGYH" variables unmodified
   11.539 INFO     Group "security_group_launch-wizard-3" variables unmodified
   11.539 INFO     Group "security_group_N-Virgina-GW-A" variables unmodified
   11.539 INFO     Group "security_group_webserver" variables unmodified
   11.540 INFO     Group "tag_aws-cloudformation-logical-id-AviatrixController" variables unmodified
   11.540 INFO     Group "tag_aws-cloudformation-stack-id-arn-aws-cloudformation-us-east-1-986182225774-stack-Controller-A-98bdc830-cbab-11e7-a47a-500c28afa0ba" variables unmodified
   11.540 INFO     Group "tag_aws-cloudformation-stack-name-Controller-A" variables unmodified
   11.541 INFO     Group "tag__GX_BACKUP_" variables unmodified
   11.541 INFO     Group "tag_Name-AviatrixController" variables unmodified
   11.541 INFO     Group "tag_Name-aviatrix-N-Virgina-GW-A-172-31-31-153" variables unmodified
   11.542 INFO     Group "tag_Name-Cvlt-mediaserver" variables unmodified
   11.542 INFO     Group "tag_Name-windows" variables unmodified
   11.542 INFO     Group "tag_N-Virgina-GW-A-172-31-31-153-gateway" variables unmodified
   11.543 INFO     Group "tag_Project-Aviatrix" variables unmodified
   11.543 INFO     Group "type_c1-xlarge" variables unmodified
   11.543 INFO     Group "type_m3-2xlarge" variables unmodified
   11.543 INFO     Group "type_m3-medium" variables unmodified
   11.544 INFO     Group "type_t2-large" variables unmodified
   11.544 INFO     Group "type_t2-micro" variables unmodified
   11.544 INFO     Group "us-east-1" variables unmodified
   11.545 INFO     Group "us-east-1a" variables unmodified
   11.545 INFO     Group "us-east-1b" variables unmodified
   11.545 INFO     Group "us-east-1c" variables unmodified
   11.545 INFO     Group "vpc_id_vpc-0b10e36f" variables unmodified
   11.546 INFO     Group "vpc_id_vpc-e6c7279d" variables unmodified
   11.557 INFO     Group "ami-a22323d8" added
   11.563 INFO     Group "i-02e2d9292765af9eb" added
