    1.390 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.416 INFO     Reading executable JSON source: /tmp/ansible_tower_launch_9XApoM/tmpHj9Mzh
    4.117 INFO     Loaded 46 groups, 6 hosts
    4.172 INFO     Deleted host "13feb2018-awsword"
    4.232 INFO     Group "i-0d923ce7bb6abe018" deleted
    4.272 INFO     Group "tag_Name-13feb2018-awsword" deleted
    4.445 INFO     Group "ec2-custom" variables unmodified
    4.449 INFO     Group "ami-11e84107" variables unmodified
    4.450 INFO     Group "ami-1f28d965" variables unmodified
    4.450 INFO     Group "ami-58fc7f22" variables unmodified
    4.450 INFO     Group "ami-6496321e" variables unmodified
    4.451 INFO     Group "ami-a22323d8" variables unmodified
    4.451 INFO     Group "ami-d01f9ac6" variables unmodified
    4.451 INFO     Group "ec2" variables unmodified
    4.452 INFO     Group "i-00970457bbdbca84b" variables unmodified
    4.452 INFO     Group "i-010e51205338e1055" variables unmodified
    4.452 INFO     Group "i-02e2d9292765af9eb" variables unmodified
    4.453 INFO     Group "i-091fcf1030f932bc5" variables unmodified
    4.453 INFO     Group "i-0d72df4707a20bb16" variables unmodified
    4.453 INFO     Group "key_AV-KP" variables unmodified
    4.454 INFO     Group "key_awskey" variables unmodified
    4.454 INFO     Group "key_centos-aws" variables unmodified
    4.454 INFO     Group "key_mediaserver" variables unmodified
    4.454 INFO     Group "key_N-Virgina-GW-A" variables unmodified
    4.455 INFO     Group "security_group_Controller-A-AviatrixSG-14BTZI28DGGYH" variables unmodified
    4.455 INFO     Group "security_group_launch-wizard-3" variables unmodified
    4.455 INFO     Group "security_group_launch-wizard-9" variables unmodified
    4.456 INFO     Group "security_group_N-Virgina-GW-A" variables unmodified
    4.456 INFO     Group "security_group_webserver" variables unmodified
    4.456 INFO     Group "tag_aws-cloudformation-logical-id-AviatrixController" variables unmodified
    4.457 INFO     Group "tag_aws-cloudformation-stack-id-arn-aws-cloudformation-us-east-1-986182225774-stack-Controller-A-98bdc830-cbab-11e7-a47a-500c28afa0ba" variables unmodified
    4.457 INFO     Group "tag_aws-cloudformation-stack-name-Controller-A" variables unmodified
    4.457 INFO     Group "tag__GX_BACKUP_" variables unmodified
    4.458 INFO     Group "tag_Name-AviatrixController" variables unmodified
    4.458 INFO     Group "tag_Name-Aviatrix-Linux-Test" variables unmodified
    4.458 INFO     Group "tag_Name-aviatrix-N-Virgina-GW-A-172-31-31-153" variables unmodified
    4.458 INFO     Group "tag_Name-Cvlt-mediaserver" variables unmodified
    4.458 INFO     Group "tag_Name-windows" variables unmodified
    4.459 INFO     Group "tag_N-Virgina-GW-A-172-31-31-153-gateway" variables unmodified
    4.459 INFO     Group "tag_Project-Aviatrix" variables unmodified
    4.459 INFO     Group "type_c1-xlarge" variables unmodified
    4.459 INFO     Group "type_m3-2xlarge" variables unmodified
    4.459 INFO     Group "type_m3-medium" variables unmodified
    4.460 INFO     Group "type_t2-large" variables unmodified
    4.460 INFO     Group "type_t2-micro" variables unmodified
    4.460 INFO     Group "us-east-1" variables unmodified
    4.460 INFO     Group "us-east-1a" variables unmodified
    4.460 INFO     Group "us-east-1b" variables unmodified
    4.460 INFO     Group "us-east-1c" variables unmodified
    4.461 INFO     Group "vpc_id_vpc-0b10e36f" variables unmodified
    4.461 INFO     Group "vpc_id_vpc-e6c7279d" variables unmodified
    4.470 INFO     Group "i-06708a9dfc84bbb36" added
    4.478 INFO     Group "tag_Name-wil-01" added
    4.490 INFO     Host "aviatrixcontroller" variables unmodified
    4.490 INFO     Host "aviatrix-linux-test" variables unmodified
    4.491 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" variables unmodified
    4.491 INFO     Host "cvlt-mediaserver" variables unmodified
    4.491 INFO     Host "windows" variables unmodified
    4.494 INFO     Host "wil-01" added
